Bendmeer Group of House Boat and Resorts,HTLGBO1000067822,Houseboat,Bendemeer Group of House boat/ Ghat No 7/ Boulevard Road/ Srinagar/ Jammu and Kashmir,Srinagar,Jammu and Kashmir,India,regular,0,34.0988217,74.84297829
Balaji Resorts,HTLGBO1000067716,Resort,Gat no 1000/ At post Dapode Khariv Bandhara/ Taluka Velhe,Pune,Maharashtra,India,regular,0,18.2962689,73.637432
Asha Sukha Nivas Laudge,HTLGBO1000069246,Lodge,Near Central St Stand,Chiplun,Maharashtra,India,regular,0,17.5323106,73.5177928
AR Suites Fontana Bay,HTLGBO1000006366,Service Apartment,Road No. 2/ Central Avenue/Kalyani Nagar,Pune,Maharashtra,India,regular,4,18.5479334,73.90096309
Atithi Cottages,HTLGBO1000017212,Hotel,Village Simsa/ Kanyal Road,Manali,Himachal Pradesh,India,regular,3,32.226787,77.1854487
Aurick Hotel,HTLGBO1000003192,Hotel,# 598/ 15th Cross/ 35th Main/6th Phase/ JP Nagar,Bangalore,Karnataka,India,regular,4,12.9058293,77.5783209
Anugraha Deluxe Hotel,HTLGBO1000068416,Hotel,Near Bus Stand/ Station Road/ Bagalkot/ Karnataka PIN 587101,Bagalkot,Karnataka,India,regular,1,16.1846503,75.7009452
Best Western Plus Ekobarn,HTLGBO1000022196,Hotel,Near New Bus Terminal/ Main Road/Kalpetta/ Wayanad,Wayanad,Kerala,India,regular,4,11.6045217,76.0834992
Aura Vaseela,HTLGBO1000049560,Resort,Village Nadiali/ P.O. Dharamgarh/ Near Nabha Sabhib Gurudwara/ Ajitgarh/ Chandigarh,Chandigarh,Punjab,India,regular,0,30.7046486,76.7178726
Anupam Resorts,HTLGBO1000001808,Resort,Naddi/ Dal Lake/ Mcleod Ganj,Mcleodganj,Himachal Pradesh,India,regular,2,32.2418621,76.32083465
Atharv Coastal End Guest House,HTLGBO1000029574,Guest House,Near La calypso casino/ Saunta Waddo/ Baga Beach,Goa,Goa,India,regular,0,15.56068833,73.75276548
Badrish,HTLGBO1000071886,Hotel,Badrish Hotal Near Tapowan Choki,Rishikesh,Uttarakhand,India,regular,2,30.0869281,78.2676116
Balaji Inn,HTLGBO1000082694,Hotel,Adjacent Chakravarthy Theater/ KPT St/ Siva Nagar/ Dharmavaram/Anantapu,Anantapur,Andhra Pradesh,India,regular,0,14.4158928,77.7255276
Ashokas Naini Chalet,HTLGBO1000005868,Resort,Kilbury Forest Road/  Village Pangot/ Nainital (approx 13Kms from Town),Nainital,Uttarakhand,India,regular,4,29.4240533,79.4266449
Apex Residency,HTLGBO1000066976,Hotel,#1/ V H Road/ Palakkad 678701,Palakkad,Kerala,India,regular,0,10.7770321,76.6763738
Bens Houseboats 4 Bed Room A/c DLX (4),HTLGBO1000065234,Houseboat,S.N Junction/ Punnamada/ Alappuzha,Alleppey,Kerala,India,regular,0,9.4980667,76.3388484
BE MY GUEST,HTLGBO1000059450,Guest House,shahi hamdan colony zukroo,Srinagar,Jammu and Kashmir,India,regular,0,34.1255413,74.9442585
AVNB Towers,HTLGBO1000006017,Hotel,No.7.Dharga Road/ Pallavaram/,Chennai,Tamil Nadu,India,regular,2,12.9661099,80.1479566
ATITHI RESIDENCY - MARTHAHALLI,HTLGBO1000069938,Hotel,No 6/16/ munnekolalu extention/ ashwathnagar/ varthur hobli,Bangalore,Karnataka,India,regular,0,12.95709023,77.70223491
AROMA,HTLGBO1000005884,Hotel,122 / 3/ Near Bharma Temple,Pushkar,Rajasthan,India,regular,0,26.489749,74.5510856
Bahar Homestay,HTLGBO1000073460,Homestay,Gimhavne/ Dapoli,Dapoli Camp,Maharashtra,India,regular,0,17.7656238,73.1674128
BEACH HOTEL,HTLGBO1000060966,Hotel,Beach Road/ Calicut Pin - 673 032 Kerala/ India,Calicut,Kerala,India,regular,0,11.2587531,75.78041
Arjun Villa,HTLGBO1000013516,Guest House,House No. 681/1 / Demello Vaddo/Anjuna Beach Road/4th lane left from Starco Junction/Anjuna- Goa.,Goa,Goa,India,regular,0,15.5809248,73.7448437
Awesome Palace,HTLGBO1000033556,Guest House,christain basti / opposite passport seva kendra/ walford,Guwahati,Assam,India,regular,3,26.1783205,91.7530844
Arpanaa Hotel,HTLGBO1000029144,Hotel,No.7 Sriram Nagar/ Polur Road,Tiruvannamalai,Tamil Nadu,India,regular,3,12.2358388,79.0263645
Athidhi Guest House,HTLGBO1000041196,Guest House,Flat no 308/Block 2/Sarada Apartments II/ Next lane to Axis Bank/ Road No.1/ Banjara Hills,Hyderabad,Andhra Pradesh,India,regular,0,15.9128998,79.7399875
Astoria Hotel,HTLGBO1000044618,Hotel,J. Tata Road/ Churchgate Reclamation   Opp Eros Cinema mumbai 400020,Mumbai,Maharashtra,India,regular,3,18.9304462,72.8260931
Bhagirathi Palace,HTLGBO1000063480,Hotel,Badrinath Road Tapovan Rishikesh,Rishikesh,Uttarakhand,India,regular,2,30.131591,78.3241469
Arihant Guest House.,HTLGBO1000091722,Hotel,Behind sardar petrol pump/ kampoo/ lashkar gwalior,Gwalior,Madhya Pradesh,India,regular,0,26.1973344,78.1684973
Avadh INN,HTLGBO1000018184,BnB,2/372/ Vishal Khand/ Gomti Nagar Lucknow/ Lucknow - 226001/ Near CMS,Lucknow,Uttar Pradesh,India,regular,0,26.8481666,80.98527
Athithi Homes,HTLGBO1000061306,Homestay,No. 8 Kumaranasan Nagar/ Kadavanthra/ Kochi,Ernakulam,Kerala,India,regular,0,9.976876034,76.30261126
Bens Houseboats 4 Bed Room A/c DLX (2),HTLGBO1000065184,Houseboat,S.N Junction/ Punnamada/ Alappuzha,Alleppey,Kerala,India,regular,0,9.4980667,76.3388484
Antares Beach Resort,HTLGBO1000053908,Resort,Small Vagator Beach/ Vagator Bardez Goa,Goa,Goa,India,regular,0,15.59454069,73.7343353
Backpacker Panda Jaipur,HTLGBO1000050440,Hostel,MI Road/ Opp Om Towers/ next to ICICI Bank ATM,Jaipur,Rajasthan,India,regular,2,26.91822023,75.79978475
Avasa Hotel,HTLGBO1000057558,Hotel,A-23/ Sector 51/ Near Community Center/ Noida,Noida,Uttar Pradesh,India,regular,0,28.54114279,77.38282847
Bagh Tola Kanha,HTLGBO1000004840,Resort,Village Bhimlat/Dist.Balaghat,Kanha,Madhya Pradesh,India,regular,1,22.2830364,80.6181218
ANNAS HOMESTAY,HTLGBO1000060314,Homestay,Chithirapuram P.O Thattathimukku/ Anachal/ Munnar  Munnar/ Chithirapuram/ Munnar 685565/ India,Munnar,Kerala,India,regular,1,10.0889333,77.0595248
Antonys Eco Houseboat,HTLGBO1000041716,Houseboat,near hanuman temple/old foot bridge,Alleppey,Kerala,India,regular,0,9.4980667,76.3388484
Araliayas Resort,HTLGBO1000025468,Resort,Udaipur Jhadol Road/  Near Nai Gaon/ Udaipur,Udaipur,Rajasthan,India,regular,3,24.54432478,73.64417642
Bhagini Residency,HTLGBO1000069798,Hotel,139/C1/ Next to G R Tech Park/ Pattandur  Agrahara ITPL Main Road/ Whitefield/   Bangalore-66,Bangalore,Karnataka,India,regular,0,12.9715987,77.5945627
AP House,HTLGBO1000030830,Hotel,Opp. Brijkishore Homeopathic College/Near Allahabad Bank/Devkali Road/Faizabad,Faizabad,Uttar Pradesh,India,regular,1,28.6139391,77.2090212
Aura Foothills,HTLGBO1000072100,Homestay,Nandi Hills/ hegedahalli village Banglore,Bangalore,Karnataka,India,regular,0,13.370154,77.6834551
Ayur County,HTLGBO1000014146,Resort,Ayur County Mountain Resorts/ Chinnakanal P.O/ Munnar,Munnar,Kerala,India,regular,3,10.03087,77.1618783
Bay Luxe,HTLGBO1000061066,Hotel,Anjuna German Bakery Road / next to German bakery and curlies shack/Anjuna/ Goa,Goa,Goa,India,regular,3,15.2993265,74.123996
Basera Guest House,HTLGBO1000031516,Guest House,689/27 Opposite chand health club/model town,Rohtak,Haryana,India,regular,0,28.8890982,76.6138327
Arya Beach Resort Mandarmani,HTLGBO1000048098,Resort,Mandarmani/ East Medinipur,Mandarmani,West Bengal,India,regular,2,21.659977,87.6908123
Antiguo Alibaug,HTLGBO1000073186,Bungalow,Awas Rd./ Near Awas Beach/ Alibaug/ Maharasthra 402201,Raigad,Maharashtra,India,regular,0,18.7624023,72.8652243
Bellmount Resorts,HTLGBO1000003306,Resort,N.H.Road/ Central Munnar,Munnar,Kerala,India,regular,3,10.0866509,77.0610071
Bean Stalk Bagmane Homestay,HTLGBO1000029024,Homestay,Bagmane Estate/ Mallandor P.O 15,Chikmagalur,Karnataka,India,regular,1,13.3685736,75.6571751
Banayan Appartment /Russell Street,HTLGBO1000049232,Service Apartment,4D/ 4th /Floor/ 12B Russel Street,Kolkata,West Bengal,India,regular,0,22.5827198,88.40827942
Baragarh Villa,HTLGBO1000057678,Resort,Baragarh Villa Baragarh Estate/ Village Gurdorh/ PO Larenkelo Distt. Kullu Himachal Pradesh,Manali,Himachal Pradesh,India,regular,3,32.2396325,77.1887145
BAZIRA COTTAGES,HTLGBO1000086324,Hotel,VILL DAWADA/ NH 21 MANALI  175131,Manali,Himachal Pradesh,India,regular,0,32.09650257,77.12678766
Ayushi Ayurvedi Retreat,HTLGBO1000032064,Guest House,near helipad/cliff beach/varkala,Varkala,Kerala,India,regular,0,28.6139391,77.2090212
AVANTHIKA HOMESTAY,HTLGBO1000078812,Homestay,palath house po nattika beach Thrissur kerala 680566,Thrissur,Kerala,India,regular,0,10.4184641,76.0994875
ASTORIA VEG,HTLGBO1000056932,Hotel,Anna Salai/ Near. Bus Stand,Kodaikanal,Tamil Nadu,India,regular,0,10.23560378,77.49242222
Arvind Niwas,HTLGBO1000071220,Homestay,Kolamb village/ Malvan,Malwan,Maharashtra,India,regular,0,16.1086061,73.471054
Balaji Residency,HTLGBO1000006973,Hotel,No.4/ E-Road/ (Near Omni Bus Stand) Koyambedu,Chennai,Tamil Nadu,India,regular,2,13.0694273,80.1980712
Aryan Hotel,HTLGBO1000063092,Hotel,Near Nehru Enclave / Bari Jugallie Gomti Nagar/,Lucknow,Uttar Pradesh,India,regular,0,26.8619743,80.97840852
Bens Houseboats 2 Bed Room A/c DLX (2),HTLGBO1000064302,Houseboat,S.N Junction/ Punnamada/ Alappuzha,Alleppey,Kerala,India,regular,0,9.4980667,76.3388484
Best Western Plus O2,HTLGBO1000009872,Hotel,31/1/ South Tukoganj  Indore,Indore,Madhya Pradesh,India,regular,4,22.71761108,75.87462344
Aspni Inn,HTLGBO1000022480,Hotel,77/ Jawaharlal Nehru Road/ 100/ Feet Road/ Vadapalani/ Chennai - 600 026,Chennai,Tamil Nadu,India,regular,3,13.054749,80.2111616
Anuraga Palace/ Treehouse Palace Hotel,HTLGBO1000004161,Hotel,Ranthambore Road/ Sawai Madhopur/,Sawai Madhopur,Rajasthan,India,regular,4,26.01691763,76.3649125
ASHTAMI RESORT,HTLGBO1000030574,Resort,ASHTAMI RESORT/Meenangadi MEPPRIKUNU,Wayanad,Kerala,India,regular,0,11.6517395,76.187579
Azure Guest House,HTLGBO1000057840,Guest House,Plot no. 30/ Vijayanagaram Colony/ Bhelupur/ Varanasi/ 221010,Varanasi,Uttar Pradesh,India,regular,1,25.2980853,83.0008432
Arul Nakshatra Service Apartment,HTLGBO1000050348,Service Apartment,10/4B/ Metha Layout /Masakalipalayam road/Peelamedu/ Hopes,Coimbatore,Tamil Nadu,India,regular,0,11.0168445,76.9558321
BAVA LODGE,HTLGBO1000026402,Lodge,No 48/1114/ E V R Periyar High Road/ Park Town/ Chennai - 600003/ Periamet,Chennai,Tamil Nadu,India,regular,0,13.0826802,80.2707184
Avasa Hotel,HTLGBO1000000230,Hotel,Plot no. 15/ 24/ 25 and 26/ Survey no. 64/ Sector-1/ Huda Techno enclave/ Madhapur/ Hyderabad - 500081,Hyderabad,Andhra Pradesh,India,regular,5,17.44689227,78.38379466
Arista Service Apartments/Andheri,HTLGBO1000061038,Service Apartment,B- 201 and 301 /  Jeevan Vijay CHS/ Dr Charat Singh Colony/ Behind Dragon Fly Hotel/ Near Jyoti Dwelling/ Chakala/ Andheri,Mumbai,Maharashtra,India,regular,0,19.1199358,72.8466076
Chit Chat Palace,HTLGBO1000009327,Hotel,D-160/Kabir Marg/Bani Park/Near Collectreat Circle,Jaipur,Rajasthan,India,regular,0,26.9254891,75.79081935
Calangute Alcove Luxury Apartment,HTLGBO1000040694,Service Apartment,Calangute Candolim Beach Road Goa 403516 Near Plaintain Leaf Restaurant,Goa,Goa,India,regular,2,15.5443686,73.7615756
Chalukya Deluxe,HTLGBO1000053570,Lodge,515 E/ New Shahupuri/ Station road,Kolhapur,Maharashtra,India,regular,1,16.7024958,74.2322025
Brisa Do Mar,HTLGBO1000064676,Hotel,Small vagator/orzan road/opp foot ball ground/bardez/goa,Goa,Goa,India,regular,0,15.59459044,73.73796309
Blooms 1,HTLGBO1000005248,Guest House,C-68/ Block-C/ South City/ Part-I/ Near Huda City Metro Station/ Sector 41/ Gurgaon,Gurgaon,Haryana,India,regular,0,28.45992092,77.06226874
Bokhim Village Resort,HTLGBO1000049630,Resort,Bokhim Village Resort/Aritar lake /East Sikkim,Aritar,Sikkim,India,regular,1,27.1878853,88.6747675
Brindavan Lodge,HTLGBO1000067002,Lodge,Malmaddi Station Road/ Court Circle/ Opposite horticulture office/ Dharwad Ho/ Dharwad - 580001,Dharwad,Karnataka,India,regular,0,15.45407367,75.00734312
Brahma Inn Executive Rooms,HTLGBO1000032340,Lodge,No.65-66/1st floor/ Sadguru complex/Opp.IIMB/Bilekahalli/Bannerghatta Main Road,Bangalore,Karnataka,India,regular,0,12.8971736,77.5999789
Blue Lemon Apartment Hotel,HTLGBO1000014976,Hotel,Villa 149/ Omaxe Panorama City/ 7-8 Km milestone on Alwar Bypass Road/,Bhiwadi,Rajasthan,India,regular,3,28.14333817,76.81595655
CHANDIPUR HOTEL,HTLGBO1000066246,Hotel,Chandipur/ Balasore - 756025,Baleshwar,Orissa,India,regular,0,21.4498151,87.0168535
Breeze Inn Bungalow,HTLGBO1000075112,Bungalow,Panchgani Road/ Mahabaleshwar,Mahabaleshwar,Maharashtra,India,regular,0,17.9313112,73.6672583
Bluebell Hospitality Services,HTLGBO1000046348,Service Apartment,Casa Grande I Bldg/ 4th Floor Flat No.401/ Koregaon Park/ Pune,Pune,Maharashtra,India,regular,0,18.5362084,73.8939748
Bharat Guest House,HTLGBO1000060782,Guest House,B-1/ Surya Nagar/ Ghaziabad-201011,Ghaziabad,Uttar Pradesh,India,regular,0,28.664471,77.321394
Camp Oak View/ Bir,HTLGBO1000066014,Tent,Jaswant Poul/ Village Ghodnala/ Post Office- Bir/ Teh. Baijnath/ Distt. Kangra/ Himachal Pradesh,Baijnath,Himachal Pradesh,India,regular,0,32.0521085,76.6492869
Callista Inn Golf Course Road,HTLGBO1000009844,Hotel,Plot No-2/sec-43/Golf Course Road/Gurgaon,Gurgaon,Haryana,India,regular,2,28.4622335,77.0948864
Chalet Diamond Penthouse,HTLGBO1000083398,Luxury Yacht,E 77 Seventh Floor/ Diamond District/ HAL Airport Road,Bangalore,Karnataka,India,regular,0,12.9546284,77.6822522
Chennai Stays (Guindy),HTLGBO1000007136,Lodge,#1/ Venkitauram/ 73-A/ Sardar Patel Road/ (Near Lemon Tree Hotel) Opp. Raj Bhavan Staff Quarters Gate/ Guindy/  Chennai,Chennai,Tamil Nadu,India,regular,0,13.0123464,80.2415414
BRYS Fort,HTLGBO1000009631,Hotel,Hotel Complex/ Plot 7/ Jodhpur Jaisalmer Road/ Jaisalmer Rajasthan,Jaisalmer,Rajasthan,India,regular,5,26.91509817,70.94675353
Citi Hotel &amp; Suites Jharsa,HTLGBO1000091462,Hotel,Address- 329/ Village Jharsa/Gurgaon Haryana,Gurgaon,Haryana,India,regular,0,28.4546386,77.0390265
Chokhi Dhani - The Palace Hotel,HTLGBO1000000204,Hotel,Chokhi Dhani Palace Hotel/ Barmer Road/ Jaisalmer 345001,Jaisalmer,Rajasthan,India,regular,4,26.901934,70.9458929
Chadda Guest House,HTLGBO1000060584,Hotel,Barsar - Deotsidh Rd/ Shahtalai/ Himachal Pradesh 176039,Shahtalai,Himachal Pradesh,India,regular,0,31.4531151,76.5204857
Castle  View Jaisalmer,HTLGBO1000038440,Hotel,Air-force Circle Dibba Para,Jaisalmer,Rajasthan,India,regular,3,26.9098688,70.9104913
Central Gate,HTLGBO1000045404,Hotel,1/2/ Elivaram Veerasamy Street/ Periamedu/,Chennai,Tamil Nadu,India,regular,1,13.0826802,80.2707184
Blue Moon Guest House,HTLGBO1000059630,Guest House,Kahilipara Road Jatia/ Dispur Guwahati-781006,Guwahati,Assam,India,regular,1,26.1446451,91.7842783
Camp Chrysalid Sitlakhet (16km From Almora),HTLGBO1000001162,Tent,Camp Chrysalid Sitlakhet/ Siyahi Devi Estate/ Sitlakhet,Almora,Uttarakhand,India,regular,0,29.593587,79.5448673
Chandelao Garh (Heritage Hotel),HTLGBO1000010383,Hotel,Chandelao/ Jodhpur/ Rajasthan,Jodhpur,Rajasthan,India,regular,1,26.25082705,73.39634211
Cabo Cabana Wooden Cottages,HTLGBO1000015180,Cottage,On the banks of River Mandovi/ Betim,Goa,Goa,India,regular,0,15.50602462,73.82518885
Bhawna Clarks Inn,HTLGBO1000006561,Hotel,Bhawna Tower/Kailashouri Crossing/ Sector 16B/ Awas Vikas/Sikandra,Agra,Uttar Pradesh,India,regular,4,27.20701554,77.97165726
Chhabra Guest House,HTLGBO1000060472,Guest House,New Market/ General Bus Stand/ Jalandhar/ Backside Narinder Cinema,Jalandhar,Punjab,India,regular,1,31.3260152,75.5761829
Black Beach Resort,HTLGBO1000004340,Resort,North Cliff End/ Thiruvambadi Beach/,Varkala,Kerala,India,regular,3,8.7403891,76.6974664
Bharati Lodge,HTLGBO1000050498,Lodge,Besides Old Bus Stand/ Hubli,Hubli,Karnataka,India,regular,1,15.3513362,75.1379375
Camp Sparrow,HTLGBO1000051208,Tent,Near Telephone Exchange/ Belwakhan/ Jeolikote - 263127/ Nainital - Uttarakhand,Nainital,Uttarakhand,India,regular,3,29.3803039,79.4635658
CHIKKOS NEST HOMESTAY,HTLGBO1000053492,Homestay,DEVANAGERI  VILLAGE AND POST VIA VIRAJPET.S.COORG 571218,Coorg,Karnataka,India,regular,0,12.3374942,75.8069082
Camp Jayshee,HTLGBO1000061048,Tent,Chail/ Himachal Pradesh 173217,Chail,Himachal Pradesh,India,regular,0,30.9676214,77.1916497
Braganza Guest House,HTLGBO1000080682,Guest House,H.No. 587/ Opp the new Baga bridge/ Goa,Goa,Goa,India,regular,0,15.56547782,73.74977822
Bulande Hope farm Bangalore,HTLGBO1000034388,Service Apartment,NO 101 Maithri layout Hope farm circle Whitefield,Bangalore,Karnataka,India,regular,0,12.9839161,77.7520895
Bhima's Paradise,HTLGBO1000072006,Hotel,Bhimkund Road/ Chikhaldara,Chikhaldara,Maharashtra,India,regular,1,21.3981985,77.3447554
Camp Mehi Tents,HTLGBO1000065536,Tent,"Vill. - Pangot/ Nainital/ (Uttarakhand) Nainital Uttarakhand Pin Code	:	263001",Nainital,Uttarakhand,India,regular,0,29.3763956,79.391605
Bhatia Villa 5,HTLGBO1000059388,Villa,Plot 5/E/ Kanch Bawadi Toll Naka/ Opp Sanjeevan School/ On panchgani Mahableshwar road,Panchgani,Maharashtra,India,regular,0,17.9239501,73.8036752
Chowkidinghee Heritage Chang Bungalow,HTLGBO1000073206,Bungalow,Chowkidinghee Heritage Chang Bungalow/ Dibrugarh(3KMS FROM Mancotta Heritage Chang Bungalow),Dibrugarh,Assam,India,regular,0,27.4728327,94.9119621
BKS Guest House,HTLGBO1000083360,Guest House,House no 327/ Sector 47/ Gurgaon,Gurgaon,Haryana,India,regular,0,28.4601745,77.0666121
Cauvery Sannidhi,HTLGBO1000001163,Hotel,Sy. No.69/ Bommuru Agrahara Village/ Paschima Vahini Circle/ Off Mysore-Bangalore Highway/ Srirangapatna Taluk,Mysore,Karnataka,India,regular,2,12.4102752,76.67088068
Casa Del Fauno,HTLGBO1000082308,Homestay,Chinnakanal P.O/ Munnar/Kerala/ 685618/ India,Munnar,Kerala,India,regular,0,10.0376437,77.1629804
Central Ninamma  Boutique Resort,HTLGBO1000027528,Resort,PNG ROAD/NEAR PALZOR NAMGYAL GIRLS HIGH SCHOOL GATE/ Gangtok,Gangtok,Sikkim,India,regular,3,27.3270234,88.6111288
Chokhi Dhani - An Ethnic Village Resort,HTLGBO1000000203,Resort,12th Mile/ Tonk Road/,Jaipur,Rajasthan,India,regular,5,26.76625542,75.83593618
Camp O Royale,HTLGBO1000060992,Tent,Lambdhar/ Chamba-Mussoorie Road/ Dist. Tehri Garhwal/ Dhanolti/ Uttarakhand 249001,Dhanaulti,Uttarakhand,India,regular,1,30.4209685,78.2509964
Brindhavan Dream House,HTLGBO1000013803,Guest House,Nagalore road  Opp petrol bunk/,Yercaud,Tamil Nadu,India,regular,0,11.775251,78.2092576
Blue Bird Resort,HTLGBO1000004101,Resort,Beach No. 5/ vijay Nagar Beach,Havelock Island,Andaman and Nicobar Islands,India,regular,3,12.02313599,93.00431342
Celesta,HTLGBO1000006467,Hotel,RAA 43/2 VIP Road (Raghunathpur),Kolkata,West Bengal,India,regular,4,22.61836608,88.43279062
Chethans inn  serviced apartments,HTLGBO1000013801,Hotel,flat no 109 / indralok apartments/old renigunta road /Behind Reliance Mart,Tirupati,Andhra Pradesh,India,regular,1,13.62699357,79.42858332
Calangute Annexe,HTLGBO1000036218,Hotel,Next to Calangute Beach/ Calangute,Goa,Goa,India,regular,0,15.541667,73.761944
Camp Mehi Cottages,HTLGBO1000065544,Cottage,"Vill. - Pangot/ Nainital/ (Uttarakhand) Nainital Uttarakhand Pin Code	:	263001",Nainital,Uttarakhand,India,regular,1,29.3803039,79.4635658
CARAMEL HOMESTAY,HTLGBO1000054742,Homestay,CARMEL HOMESTAY/Raj Villament/ Ivy Rossa Layout/Carmelaram P.O./ Sarjapur Road/Bangalore 560035/ Karnataka/ South India,Bangalore,Karnataka,India,regular,1,12.9715987,77.5945627
Blue Dawn Suites Service Appartment,HTLGBO1000069686,Service Apartment,Plot No21/ Silicon valley/ Madhapur/ Hyderabad - 500081,Hyderabad,Andhra Pradesh,India,regular,0,17.4471644,78.3722413
Casa Anjuna-Boutique Resort,HTLGBO1000000455,Resort,Near Starco Junction/66 D Mello Vaddo/ Anjuna,Goa,Goa,India,regular,4,15.5828843,73.73983218
Calista Resort,HTLGBO1000014016,Resort,OLD NH-8/NEXT TO FUN N FOOD VILLAGE KAPASHERA/NEW DELHI 110037/ INDIA,Delhi,Delhi,India,gostays,4,28.51988448,77.08366606
Boopathy Lodge,HTLGBO1000051904,Hotel,36/  Main Road /,Kanyakumari,Tamil Nadu,India,regular,0,8.0883064,77.5384507
Buxar Hotel,HTLGBO1000065878,Lodge,Main Road/ State Highway 13/ Next to Model Thana/ Opposite Old Bus Station,Buxar,Bihar,India,regular,0,25.5657858,83.9770718
Chief Guest House,HTLGBO1000039706,Guest House,Chanmari/ Main Road,Aizawl,Mizoram,India,regular,0,23.740738,92.7172255
Bhimtal Holiday Villa,HTLGBO1000066070,Villa,Near Bhimtal Lake/Bhimtal/Nainital/ Uttarakhand,Nainital,Uttarakhand,India,regular,0,29.343056,79.559167
